<Event(17-VideoExpose {})>
<Event(16-VideoResize {'size': (600, 400), 'w': 600, 'h': 400})>
<Event(1-ActiveEvent {'gain': 0, 'state': 1})>
<Event(4-MouseMotion {'pos': (599, 360), 'rel': (600, 361), 'buttons': (0, 0, 0)})>
<Event(1-ActiveEvent {'gain': 1, 'state': 1})>
<Event(4-MouseMotion {'pos': (599, 286), 'rel': (0, -74), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (597, 283), 'rel': (-2, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (590, 279), 'rel': (-7, -4), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (584, 277), 'rel': (-6, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (579, 274), 'rel': (-5, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (573, 272), 'rel': (-6, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (567, 269), 'rel': (-6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (564, 268), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (562, 267), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (559, 266), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (556, 265), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (555, 264), 'rel': (-1, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (553, 263), 'rel': (-2, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (550, 262), 'rel': (-3, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (546, 261), 'rel': (-4, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (544, 261), 'rel': (-2, 0), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (540, 259), 'rel': (-4, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (536, 258), 'rel': (-4, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (531, 257), 'rel': (-5, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (526, 256), 'rel': (-5, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (521, 253), 'rel': (-5, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (517, 251), 'rel': (-4, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (511, 248), 'rel': (-6, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (506, 246), 'rel': (-5, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (499, 244), 'rel': (-7, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (490, 242), 'rel': (-9, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (483, 239), 'rel': (-7, -3), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (475, 237), 'rel': (-8, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (467, 235), 'rel': (-8, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (456, 233), 'rel': (-11, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (448, 232), 'rel': (-8, -1), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (440, 230), 'rel': (-8, -2), 'buttons': (0, 0, 0)})>
<Event(4-MouseMotion {'pos': (430, 227), 'rel': (-10, -3), 'buttons': (0, 0, 0)})>
